indicator,intervention_year,scenario,median,lower_CI,upper_CI
LYlostAIDS,2025,baseline,33674051,31133540.675,35971549.474999994
LYlostAIDS,2025,intervention,48134985,44237022,51341334
LYlostAIDS,2030,baseline,29305814,27024273.45,31679766
LYlostAIDS,2030,intervention,41301480,37741630,44271535.25
LYlostAIDS,2035,baseline,25202320,23022702.525,27485005.375
LYlostAIDS,2035,intervention,34855590,31603157,37916631.75
LYlostAIDS,2040,baseline,21214276,19184843.625,23434056.65
LYlostAIDS,2040,intervention,29028305.5,25932310,31974698.25
LYlostAIDS,2045,baseline,17543321,15611688.725000001,19728518.725
LYlostAIDS,2045,intervention,23852114.5,20925723,26822886.075
NewAdultHIV,2025,baseline,2830527.5,2517814.65,3087402.755
NewAdultHIV,2025,intervention,3885477.5,3394188,4190444.4499999997
NewAdultHIV,2030,baseline,2368098.4,2077782.3,2628215.35
NewAdultHIV,2030,intervention,3291683,2845380,3598772.975
NewAdultHIV,2035,baseline,1967577.05,1700942.8,2233049.96
NewAdultHIV,2035,intervention,2747262.2,2321779.8,3078373.4999999995
NewAdultHIV,2040,baseline,1630531.7,1382368.2950000002,1892470.5275
NewAdultHIV,2040,intervention,2292841.55,1884044.7,2638172.435
NewAdultHIV,2045,baseline,1349420.5,1116264.7675,1608885.9999999998
NewAdultHIV,2045,intervention,1914131.9,1540870,2275614.08
TotalAIDSdeathsadult,2025,baseline,1089106.2,1016190.91,1152696.2975
TotalAIDSdeathsadult,2025,intervention,1422160.5,1318176.9,1505683.9
TotalAIDSdeathsadult,2030,baseline,1042583,971476.0925,1107313.8399999999
TotalAIDSdeathsadult,2030,intervention,1327425.35,1230457.5,1407994.72
TotalAIDSdeathsadult,2035,baseline,979801.1,909539.2024999999,1046613.4225000001
TotalAIDSdeathsadult,2035,intervention,1221748.25,1126016.19,1300634.4275
TotalAIDSdeathsadult,2040,baseline,898522.2,829824.209,965957.5
TotalAIDSdeathsadult,2040,intervention,1102173.7999999998,1007746.1724999999,1181851.1299999997
TotalAIDSdeathsadult,2045,baseline,802951.49,736168.4305,870832.973
TotalAIDSdeathsadult,2045,intervention,973120,881916.9,1055281.2625
