pitc_reduction_year,pitc_reduction_percentage,future_variability,future_value,elimination_year,mean_incidence_2100,lower_ci,upper_ci
2025,100,condom_reduction,0,NA,0.00141514153,8.9885875e-4,0.0021353862499999994
2025,100,condom_reduction,2,NA,0.0027429207,0.0020421375,0.003605016499999999
2025,100,condom_reduction,4,NA,0.004437427,0.0035512965,0.005555404999999999
2025,100,condom_reduction,6,NA,0.0061675974,0.0051564869999999995,0.0074354725
2025,100,condom_reduction,8,NA,0.0076868977,0.00668332975,0.00893362725
2025,100,condom_reduction,10,NA,0.0089266549,0.00791385275,0.010114201999999997
2025,100,condom_reduction,12,NA,0.0099154243,0.00887357225,0.011059347499999997
2025,100,condom_reduction,14,NA,0.0107037121,0.009690484999999999,0.011852095
2025,90,condom_reduction,0,NA,0.00117343047,7.19655525e-4,0.0017893837499999997
2025,90,condom_reduction,2,NA,0.0022973504000000002,0.001704293,0.0030911939999999994
2025,90,condom_reduction,4,NA,0.0037820976,0.003045566,0.004843599749999998
2025,90,condom_reduction,6,NA,0.0053705835,0.004475296,0.00663960525
2025,90,condom_reduction,8,NA,0.0068215452,0.0058620767499999995,0.008123871
2025,90,condom_reduction,10,NA,0.0080355586,0.007039223000000001,0.009305640999999998
2025,90,condom_reduction,12,NA,0.0090168461,0.008025763250000002,0.010231612499999997
2025,90,condom_reduction,14,NA,0.0098043165,0.008816865,0.010963304999999996
2025,80,condom_reduction,0,2096,9.5986935e-4,5.580821750000001e-4,0.0014752874999999998
2025,80,condom_reduction,2,NA,0.0018980617,0.0013692342499999999,0.0026174149999999997
2025,80,condom_reduction,4,NA,0.0031738018,0.0024809205,0.004141646999999998
2025,80,condom_reduction,6,NA,0.0046021322,0.0037305067500000002,0.005840174
2025,80,condom_reduction,8,NA,0.0059643283,0.00500273425,0.007281880749999999
2025,80,condom_reduction,10,NA,0.0071395563,0.0060828915,0.008461369
2025,80,condom_reduction,12,NA,0.0081070867,0.007040656750000001,0.009392813749999998
2025,80,condom_reduction,14,NA,0.008891365,0.007841991,0.010130479999999997
2025,70,condom_reduction,0,2081,7.7509419e-4,4.20394925e-4,0.00121236275
2025,70,condom_reduction,2,NA,0.001626005,0.001467797,0.001784213
2025,70,condom_reduction,4,NA,0.0026258659,0.0019914865,0.0034719162499999975
2025,70,condom_reduction,6,NA,0.0038821656,0.0030748035,0.005052000249999999
2025,70,condom_reduction,8,NA,0.0051348903,0.004178402750000001,0.00641805175
2025,70,condom_reduction,10,NA,0.0062545275,0.005162165999999999,0.007585106249999999
2025,70,condom_reduction,12,NA,0.0071981639,0.0060233464999999995,0.008519816999999999
2025,70,condom_reduction,14,NA,0.0079740031,0.006757282,0.009263993499999998
2025,60,condom_reduction,0,2073,6.193209e-4,3.14636075e-4,9.7702475e-4
2025,60,condom_reduction,2,NA,0.00125374627,8.337598500000001e-4,0.0018092102499999998
2025,60,condom_reduction,4,NA,0.0021499459,0.00160838475,0.002928390499999999
2025,60,condom_reduction,6,NA,0.0032330478,0.0024888110000000005,0.0042494264999999995
2025,60,condom_reduction,8,NA,0.0043603919,0.0034402137499999997,0.005561390999999999
2025,60,condom_reduction,10,NA,0.0054068507,0.00432498725,0.0067008764999999994
2025,60,condom_reduction,12,NA,0.0063135974,0.00512463275,0.0076304617499999994
2025,60,condom_reduction,14,NA,0.0070729026,0.005817057,0.008379336
2025,50,condom_reduction,0,2067,4.9014695e-4,2.3529005e-4,8.071112499999995e-4
2025,50,condom_reduction,2,NA,0.00100748859,6.30626425e-4,0.0014640294999999999
2025,50,condom_reduction,4,NA,0.00174667143,0.0012717987499999998,0.0024219999999999997
2025,50,condom_reduction,6,NA,0.0026648964,0.001971333,0.003522177999999999
2025,50,condom_reduction,8,NA,0.0036583053,0.0027397055,0.004687288749999999
2025,50,condom_reduction,10,NA,0.0046161756,0.00352490725,0.005786074499999999
2025,50,condom_reduction,12,NA,0.0054718926,0.00426730825,0.006717942749999999
2025,50,condom_reduction,14,NA,0.0062043582,0.004933305000000001,0.00748385725
2025,40,condom_reduction,0,2064,3.8480443e-4,1.7698429999999998e-4,6.735389249999996e-4
2025,40,condom_reduction,2,2084,8.0514109e-4,4.7348965e-4,0.0011634142499999996
2025,40,condom_reduction,4,NA,0.00141163476,9.655009000000001e-4,0.0019357259999999998
2025,40,condom_reduction,6,NA,0.0021805169,0.0015225100000000001,0.0028829667499999994
2025,40,condom_reduction,8,NA,0.0030399877,0.0021463619999999997,0.004009262999999999
2025,40,condom_reduction,10,NA,0.0038989195,0.0028043617499999996,0.004963423999999999
2025,40,condom_reduction,12,NA,0.0046907573,0.0034467624999999997,0.00582687975
2025,40,condom_reduction,14,NA,0.0053852771,0.00404139425,0.006581321249999999
2025,30,condom_reduction,0,2061,2.99464182e-4,1.3195305e-4,5.556370749999997e-4
2025,30,condom_reduction,2,2074,6.3891353e-4,3.5283665e-4,9.485952249999997e-4
2025,30,condom_reduction,4,NA,0.00113422103,7.02925725e-4,0.0015586374999999998
2025,30,condom_reduction,6,NA,0.001771645,0.00116184575,0.0023584679999999994
2025,30,condom_reduction,8,NA,0.0025031887999999998,0.00165815525,0.0033306002499999994
2025,30,condom_reduction,10,NA,0.0032581227,0.0021945872500000003,0.004360414999999999
2025,30,condom_reduction,12,NA,0.0039758183,0.002735088,0.00517710875
2025,30,condom_reduction,14,NA,0.0046216729,0.003250257,0.005885567999999999
2025,20,condom_reduction,0,2059,2.31645427e-4,9.785067e-5,4.5433407499999973e-4
2025,20,condom_reduction,2,2068,5.0384072e-4,2.4310085000000002e-4,7.98762725e-4
2025,20,condom_reduction,4,2092,9.0693798e-4,4.92359525e-4,0.0012840712499999998
2025,20,condom_reduction,6,NA,0.00143192854,8.4525305e-4,0.0019794584999999996
2025,20,condom_reduction,8,NA,0.0020468409,0.00126868525,0.0028220057499999994
2025,20,condom_reduction,10,NA,0.0026989522,0.0016981275,0.003679804249999999
2025,20,condom_reduction,12,NA,0.0033367685,0.0021405342500000002,0.004519140749999999
2025,20,condom_reduction,14,NA,0.0039255297,0.00257274275,0.0052350525
2025,10,condom_reduction,0,2057,1.78837738e-4,7.111234750000001e-5,3.6849047499999985e-4
2025,10,condom_reduction,2,2064,3.9542155e-4,1.67690075e-4,6.737514999999997e-4
2025,10,condom_reduction,4,2079,7.2239179e-4,3.4070815e-4,0.0010753932499999999
2025,10,condom_reduction,6,NA,0.00115304494,5.97272625e-4,0.00167330525
2025,10,condom_reduction,8,NA,0.00166542242,9.27210375e-4,0.00238257625
2025,10,condom_reduction,10,NA,0.0022209778,0.00130285575,0.00312250575
2025,10,condom_reduction,12,NA,0.00277809,0.001666317,0.00385404425
2025,10,condom_reduction,14,NA,0.0033047899,0.0020278085,0.0045867339999999986
2025,0,condom_reduction,0,2055,1.38160721e-4,5.3527745e-5,2.99762725e-4
2025,0,condom_reduction,2,2062,3.08825804e-4,1.19079975e-4,5.476478249999999e-4
2025,0,condom_reduction,4,2072,5.7251952e-4,2.40249175e-4,8.990873249999995e-4
2025,0,condom_reduction,6,2093,9.2419029e-4,4.2711565000000005e-4,0.00140108825
2025,0,condom_reduction,8,NA,0.00134796276,6.75373325e-4,0.0020240985
2025,0,condom_reduction,10,NA,0.00181567404,9.7057955e-4,0.0026713544999999997
2025,0,condom_reduction,12,NA,0.0022947598,0.00126775525,0.0033624562499999996
2025,0,condom_reduction,14,NA,0.0027575867,0.00155862525,0.004019406499999999
